5, 1, 1, -1, 0, 2, 0, -2, -1, 0, 0, 0, 2, -2, 0, 1, 24, 59, -1, -34, -14, -46, -10, -7, 4, 8, 10, 14, 9, 4, 8, 0, -34, 24, -2, 7, 18, 3, -9, -5, -8, 1, 3, -5, -2, 1, 2, 0, -12, 16, 4, -19, -6, 11, 2, -10, -1, -1, 3, -1, 1, -2, 4, 0, -2, -3, -2, -15, 18, -19, 14, 62, 17, -29, -27, -28, -17, -11, -9, -15, 1, -54, -81, -4, 32, -54, -57, 9, 54, 12, 3, -2, 2, -3, 3, 1, 0, 
1, 0, -2, 1, 2, 0, -2, 1, 2, -2, -1, 0, 0, 3, 8, 41, 31, -35, -44, -16, -31, 21, 1, -17, -4, -13, -25, -6, 7, -11, -13, 19, 12, -22, 32, -12, -1, 30, 9, -7, -2, -7, 1, -10, -15, 14, 1, 7, 3, -4, 26, -9, -8, -2, 6, 3, -6, -3, -1, 1, -3, -2, -1, 6, -1, -8, -3, 0, -12, 22, 17, -26, -26, -1, -1, -3, 6, 2, -1, -12, 16, 33, 1, -51, 2, 115, 27, -91, -71, 36, 22, 15, 0, 2, -3, 2, 2, 
2, -3, 1, -2, 0, -2, 1, -2, 0, 1, 2, -2, 2, 15, 43, -6, -76, -22, 6, -19, 31, 12, -21, -15, -19, -2, -4, -16, 15, 6, -7, -37, 24, 1, 10, 13, -48, -2, 44, -11, -1, 2, -8, -3, -8, -5, 18, 0, 10, 6, -2, 29, -19, 7, -1, 2, 2, -7, 3, -2, 3, -4, -2, 4, 14, -5, 5, -3, -4, 2, -14, -9, 8, 1, -5, -3, 2, -1, 1, 1, -14, -12, 12, -4, -61, -53, 70, 99, -8, -105, 2, -10, 18, 3, -1, -1, 1, 
3, -2, 2, -1, 2, -1, 2, 0, -2, -2, -1, 4, 22, 42, -28, -74, 0, 44, -15, 24, 17, -1, 28, 38, 17, -9, -3, -16, -32, 36, 29, 1, -49, 1, 9, 29, -19, -57, 26, 27, -11, -1, 5, -6, 16, -34, 11, -5, 0, 17, 0, 0, 9, -11, 14, -21, 14, -11, 6, 1, 2, -5, 0, -13, 14, -8, 4, 1, -8, -7, -4, -3, 12, -14, -6, 5, -3, -2, -1, 3, 1, -6, -9, 12, 11, -45, -60, 48, 71, 31, -63, 28, -26, 18, 0, 2, 0, 
-1, 0, -2, 2, -2, 2, -2, 1, -3, 3, 2, 31, 30, -52, -76, 0, 65, -4, -18, -21, -12, -20, -28, -29, 9, 43, 34, 26, -27, -64, 40, 38, 0, -13, 2, 23, 55, -52, -48, 82, -23, 2, 25, -6, 10, -12, 9, 1, 4, 4, 12, -11, 13, -19, 26, -12, -3, 3, -8, 5, 1, -8, 0, -1, 3, 7, -5, 11, 9, -6, -8, 14, -11, -3, 14, -3, 2, 0, -7, 0, -7, 3, -3, -9, 14, -11, -56, -83, 36, 80, 19, -48, 28, -13, 12, 0, 0, 
0, 0, 0, -2, 1, -2, 0, 0, 2, 3, 33, 23, -74, -48, 37, 84, -15, -8, -19, 5, -3, -8, 4, 11, -16, -11, 9, 18, 55, -10, -56, 38, 27, 14, -30, 14, 56, 33, -85, 34, 6, -8, 13, 7, -5, 25, -8, -3, -3, -9, -1, -2, 21, -6, 4, -7, 1, 10, -4, -8, 17, -11, -5, 7, 0, 7, -17, 14, 0, 4, -7, 5, 7, 23, -5, -6, -3, -18, 10, -3, 12, 1, -4, -12, 11, 62, 27, -67, -80, 14, 98, -23, -11, 0, 7, 1, 1, 
1, 0, 0, -1, 1, -1, 0, 2, -2, 29, 26, -67, -63, 85, 62, -32, -12, -23, 18, -9, 2, 17, 4, -3, -2, -7, -10, -15, 28, 12, -13, -17, 24, 22, -22, -20, 15, 50, -29, -14, 28, -22, 19, -2, -24, 19, -1, -15, -7, -3, -9, 8, -11, 2, 1, 5, 1, 8, 0, -11, -4, -2, 3, 8, -14, 3, -2, 8, -10, 12, -8, 6, -1, -5, -13, -22, 8, 23, -3, -2, -3, -3, 6, -15, -19, 12, 41, 56, -59, -69, -34, -118, -46, 25, 3, 8, 0, 
-3, 1, 0, -1, 2, -1, 2, -2, 18, 23, -31, -65, 54, 50, 6, -14, -26, 2, -16, -20, 4, -3, -3, 8, -18, -17, -20, -10, -26, 49, -39, -3, 37, -20, 22, -41, -17, 11, 28, -39, 17, -32, 5, -20, -14, 3, -3, -23, 0, -8, -12, 1, -1, 3, 5, -4, -1, 0, -6, 0, -8, -2, 10, -6, 0, -3, 8, -14, 6, -7, 3, 0, -16, -18, 13, 39, 3, -20, -8, 1, 8, -3, -6, 0, -31, 17, 49, 25, 51, -45, -47, -48, 10, -29, 35, 3, 1, 
-2, 2, 1, 1, -2, 2, -2, 4, 34, -25, -44, 32, 33, -59, -17, -17, 18, 3, -2, 4, -15, -6, 5, -2, 20, 8, 1, -15, -8, -14, 33, -66, 26, -5, -19, -1, -35, -9, 8, -25, -15, -21, -11, -28, -12, -25, -5, -27, -18, -21, -7, -10, -3, 4, 4, -7, 3, 4, 9, -11, -5, -4, -2, 3, -1, 5, -7, 3, 2, 4, -38, -17, 12, 33, 14, -26, -13, 21, 10, 6, -11, 1, 2, 1, -5, -41, 3, 49, -7, 12, -15, 0, -11, -17, 5, 27, -1, 
-1, -1, -1, -3, 1, -2, -1, 27, -2, -13, -39, 39, -22, 48, -34, -7, -12, 1, 32, 15, 52, 21, -1, -4, -5, -4, 6, -3, -12, -22, 5, -7, -6, 6, -26, 0, -5, -28, -9, -22, 6, -1, -21, -9, 1, -6, -3, -3, 4, -1, -3, -23, -18, 8, -6, -1, -1, 22, -10, -11, 1, 0, 5, 0, -6, -13, -5, 3, -15, -19, 28, 44, 15, -13, -20, 16, 19, -12, 8, -10, 3, 4, 0, -3, 1, -4, -20, -37, -7, 38, -36, 56, -64, 2, -24, 27, 6, 
