0, -5, -4, 1, -2, -10, 0, 6, 11, 9, 5, -12, -18, 3, 3, -6, -2, -2, -1, -4, -1, 4, 3, -4, 2, 3, -4, 1, 1, -1, 1, 2, 2, -2, 1, -1, 1, -1, 1, -4, 1, 0, -5, 10, -10, 1, 0, -3, -2, 2, -4, -1, -3, -2, -3, 2, -2, -6, 4, 1, -1, -23, 3, 10, 6, 7, -4, -7, 1, -9, 1, -3, 3, -3, 1, 1, 3, -35, 28, 12, 26, 33, -89, 11, 5, 0, 2, 2, -4, 9, -1, 0, -3, 2, -1, -10, 35, 
0, 1, 2, 0, -4, -7, 6, 4, 3, 10, 2, -15, -13, 1, 0, 3, 4, -3, -8, 4, 0, -1, -1, 5, -6, -4, 2, 5, -5, -3, -2, 1, -2, 0, -4, 2, -2, -3, -1, -3, 2, -2, -1, -5, 0, -1, 4, -5, 0, -2, 1, 0, 2, -3, 4, -4, 0, 8, -2, 3, -3, 5, -31, 9, 5, 6, 1, -2, 0, 8, 0, -4, 2, 1, -2, -4, 3, -8, -38, 35, 1, 68, -28, -47, 7, 2, 1, -2, -1, -5, -3, 0, -1, -7, -13, 65, 39, 
-4, 0, 0, -1, -6, 9, 2, 1, 5, 5, 8, -12, -16, 7, -4, 9, -3, 4, -7, -2, 1, 5, 1, -2, 5, 0, 1, -2, 6, 0, 5, -4, 4, 4, 1, 3, -4, 8, -3, 7, 0, 9, -5, 8, -2, 0, 6, 6, -4, 3, 5, -5, 1, 4, -2, 2, 5, 0, 3, 4, -6, 9, -16, -10, 8, 0, 10, 2, -3, 5, 3, 0, 5, -2, 4, -2, -1, 7, -42, 14, 24, 11, 84, -97, -3, 6, -2, 4, 1, 0, 5, -2, -2, -9, 66, 9, -80, 
0, 2, 3, -4, -9, 7, -1, 2, -3, 7, 11, -7, -8, -2, 15, -9, 1, -2, -3, 4, -4, 2, -3, 1, -1, 2, 2, 3, -3, -2, -4, 1, 4, -4, 2, -6, 2, -4, -1, 4, 0, -1, 0, 2, -1, -5, 1, 8, -3, -2, 1, -2, 4, -5, -3, 1, -1, -1, -1, 2, 6, -6, -7, -19, 11, 1, 4, 4, 0, 1, 4, 0, -5, 0, -2, -3, 0, -2, 1, -52, 38, 1, 49, 9, -64, 8, 2, -2, 2, -4, -2, 4, -8, 77, 15, -71, 16, 
3, -1, 0, -10, 5, 5, 4, -8, 0, 16, 7, -20, -25, 6, -2, 3, 4, -2, -2, -2, 2, 2, 2, 1, 2, -6, 2, -3, 1, 3, 2, -1, -9, 9, -9, 1, 8, 8, -7, -4, -3, 0, 7, -9, 0, 2, -2, -1, 0, 2, 4, -6, -1, 1, 3, -3, -3, 6, -2, -4, 9, -2, -8, -5, 1, 9, 4, 1, 3, -4, -3, 2, 0, 2, -1, 2, -1, -1, 3, -32, -1, 31, 8, 82, -88, -12, 8, 5, 1, -5, -1, -16, 69, 3, -76, 3, -11, 
-6, 2, -5, 3, 10, 5, -3, -4, 4, 13, 12, -16, -2, 2, 0, 10, 0, 0, -7, 1, 2, -2, 6, -2, 4, 1, 4, -4, 1, 0, 4, -2, 6, -4, 3, -4, 3, 1, 3, -6, 0, -9, 1, 10, 0, -4, 5, -1, -5, 9, -7, 1, 3, 0, -3, 4, -2, -1, 7, 2, -1, -6, -4, -5, -1, 3, 4, 4, 1, -1, 6, -3, 0, 2, 0, 1, 4, 2, 7, 3, -65, 44, 1, 30, 67, -97, 12, 2, 3, 1, -17, 78, 15, -81, 9, -3, 9, 
1, 0, -1, 10, -1, 6, -4, -3, 4, 10, 10, -15, -22, 6, 4, -6, -5, 2, -1, -4, 4, 1, -6, -1, -2, 0, 2, 1, -7, 0, -3, 4, -5, -1, 7, -1, -1, -2, -1, 4, -3, 5, 1, -13, -5, 6, 4, 5, 3, 4, 3, -6, 4, -2, -2, -3, -2, 1, 3, -3, 0, 13, -14, -7, 6, 2, 1, -2, 4, -2, -1, 1, 4, -8, 7, 0, -1, 6, -2, 8, -22, -29, 41, 0, 69, -34, -44, 7, 0, -9, 75, 1, -77, -1, 7, 13, -1, 
0, -8, 19, -2, 1, -5, 4, -5, 3, 12, 5, -20, -13, 6, 3, -2, 6, -6, -1, -5, -1, 5, -2, 3, -1, -4, 0, -6, 2, 3, -1, -6, 2, -2, -1, -3, 4, -3, -12, -9, -16, -29, -27, -20, -40, -61, -38, -15, 6, 12, -3, 4, -5, 6, -3, 6, 1, 1, -1, 7, -8, 2, -1, -10, 1, 4, 1, 5, 0, 3, -2, 2, -4, 2, -3, 6, 1, 0, -3, 0, 1, -52, 37, 12, 17, 75, -105, 0, -19, 66, 18, -70, 2, 1, 9, -8, 11, 
-11, 6, 10, -7, -1, -11, 14, -5, 5, 7, 17, -12, -14, 3, 3, 8, -4, 4, -7, 8, -5, 2, 1, 0, 0, 5, 1, 0, 3, -1, 2, -1, 5, 8, 0, -2, -19, -5, 2, 16, 0, 16, 40, 28, 50, 70, 26, -16, -63, -58, 7, 1, 10, 3, 2, -5, -2, 4, 4, -3, 1, 0, -5, -6, -3, 8, -6, -4, 1, 2, 3, -5, 1, 4, 5, -2, 3, -7, 7, -2, 5, -15, -36, 46, 0, 55, -2, -71, 63, 15, -79, 7, -4, 1, 12, 14, -20, 
-2, 14, 7, -1, -14, -7, 11, -5, 6, 11, 10, -19, -12, 2, 4, 0, 0, 4, -3, -1, 5, 6, -1, 0, 7, -5, 2, 5, -5, 7, 5, -11, -16, -10, 0, -6, 16, 34, -8, -9, 24, 7, 2, 18, -7, -24, 11, 33, 67, 38, -84, -35, 11, 3, 4, 4, 1, -2, -1, 4, 2, 3, -5, -12, 7, 9, -1, -3, -3, 5, 0, -2, 3, -2, 1, 0, -5, 4, -9, 1, 1, 2, -49, 18, 21, 10, 74, -46, 37, -74, 9, -1, 2, 6, -3, -14, 7, 
10, 12, 10, -12, -23, 14, 8, 1, 3, 8, 16, -19, -21, 13, 0, 4, 2, -9, 6, -2, -1, 0, 4, 0, 0, -5, 2, -4, 8, -8, -22, 18, 31, 27, -20, 8, 4, -6, 11, 3, -8, -6, 1, -9, 0, -4, -4, 0, -8, 25, 91, -17, -93, 7, 14, -4, 2, 5, 1, -6, -1, 5, -11, -1, -1, 7, 5, -4, 3, -5, 6, 6, -9, 2, -3, 2, 0, -1, 0, -3, -2, 1, 0, -68, 57, -3, 39, -107, 108, 8, -6, 7, 0, 6, -2, 3, 4, 
20, 1, 22, -60, 5, 13, 10, -2, 2, 14, 16, -17, -15, -6, 2, -6, -4, 3, -3, -1, 0, 2, 1, -4, 4, 2, -2, 3, -8, 9, 23, 6, -10, -14, -6, 2, 1, -18, -5, 2, 4, 14, -14, -3, 0, 12, 7, -10, 4, -11, -6, 52, 73, -101, -38, 19, 9, -1, 2, 5, -1, 1, -9, -14, 7, 3, 6, -7, 1, 0, 0, 8, 5, -9, -4, 1, 0, -1, 2, 0, -7, 6, 4, -31, -26, 27, -94, -43, -55, 7, 1, 4, 9, -14, -11, 21, -17, 
6, 24, -9, -60, 12, 8, 9, -3, 5, 8, 10, -10, -25, 9, -3, 9, -1, -2, 3, -3, -1, 2, -3, -3, 3, -1, 2, 2, -29, 49, -60, 15, -8, 13, -22, 15, -4, 0, 4, -9, -13, -5, 8, 22, -1, -6, 1, -2, 0, -3, 2, -1, -2, 112, -42, -84, -6, 14, 2, 0, 2, -3, -2, -10, 4, 8, 2, 2, -5, 3, 3, -5, 14, -6, -4, 0, 4, -1, 1, -1, 4, -1, -2, 7, -75, -96, 10, -126, 13, -10, 7, 7, 3, -10, 20, -22, -15, 
14, 18, -50, -23, 11, 7, 14, 0, 1, 6, 16, -24, -16, 5, 4, 1, 4, -6, -5, 0, 0, 2, 0, -2, 1, -3, 2, -15, 47, -24, 16, -16, -4, 0, 11, -9, 5, 9, -4, 1, 0, -3, -4, -7, -7, 5, -4, 10, -1, 3, 4, 6, 1, -20, 75, -5, -107, -34, 21, 6, -8, 13, -5, -19, 4, 12, 3, 7, 2, -10, 0, -5, 16, 4, -5, 4, 3, -5, -4, 3, -1, 1, 2, -10, 66, -16, -120, 13, -4, 14, 0, -1, -26, 27, -10, -16, 59, 
28, -25, -13, -24, 14, 8, 3, 5, -1, 12, 16, -18, -18, -3, 16, -11, 4, 2, -1, -1, -2, 9, -8, 3, 0, 4, -9, -7, 36, -16, -21, 6, -2, -2, 6, 2, 1, -11, 6, -4, -4, 7, -1, -7, 10, 7, -1, -9, 8, 15, -4, -33, -12, 6, 3, 57, -69, 102, -4, 15, -7, 6, -10, -4, 4, 10, 6, 0, 16, 4, -28, 1, 12, 20, -6, -1, 3, -1, 0, 1, 0, 0, -7, 20, 90, -103, 14, -7, 4, 3, 4, -19, 29, -10, -30, 42, -38, 
7, -47, 5, -19, 2, 10, 10, 3, 3, 8, 8, -15, -16, 8, -3, 8, -5, 0, -1, -3, 6, -4, 3, -1, 0, 1, -5, 27, -24, -7, 8, 2, 5, 3, -4, -13, 0, 4, 2, -5, 0, -22, 2, 2, 9, 1, 12, 28, -19, -48, -1, 30, 13, 3, 1, -24, 17, -118, 76, 23, 11, 0, -4, -15, 0, 8, 2, -3, 6, 24, -17, -66, 23, 16, 11, -9, 5, -2, -2, 2, -5, -2, -8, 114, -108, -16, -12, 6, 6, 5, -22, 19, -8, -16, 8, 3, -84, 
